name,furigana,alphabet,keywords,abroad,country,prefecture,area,latitude,longitude,tmp_name
,,,,,,,,,,フィリピン／アニラオ・プエルトガレラ,97
,,,,,,,,,,浮島、堂ヶ島,98
,,,,,,,,,,熱海,99
,,,,,,,,,,井田,100
,,,,,,,,,,白崎海洋公園,101
,,,,,,,,,,南勢,102
,,,,,,,,,,菖蒲沢,103
,,,,,,,,,,越前,104
,,,,,,,,,,メキシコ／ラパス,105
,,,,,,,,,,利島,106
,,,,,,,,,,紀伊半島（その他）,107
,,,,,,,,,,伊勢志摩,108
,,,,,,,,,,福浦,109
,,,,,,,,,,三宅島,110
,,,,,,,,,,稲取,111
,,,,,,,,,,紅海／シャルムエルシェイク,112
,,,,,,,,,,フィリピン／ネグロス島,113
,,,,,,,,,,熱川・北川,114
,,,,,,,,,,根府川,115
,,,,,,,,,,南越前,116
,,,,,,,,,,奄美大島,117
,,,,,,,,,,インドネシア／ロンボク,118
,,,,,,,,,,葉山,119
,,,,,,,,,,阿嘉島 ,120
,,,,,,,,,,佐渡島,121
,,,,,,,,,,足摺岬,122
,,,,,,,,,,御蔵島,123
,,,,,,,,,,積丹半島,124
,,,,,,,,,,津軽半島,125
,,,,,,,,,,城ヶ島,126
,,,,,,,,,,みなべ,127
,,,,,,,,,,女川,128
,,,,,,,,,,函館,129
,,,,,,,,,,志賀島,130
,,,,,,,,,,親不知,131
,,,,,,,,,,竹富島,132
,,,,,,,,,,田後,133
,,,,,,,,,,知床半島,134
,,,,,,,,,,谷津,135
,,,,,,,,,,種子島,136
,,,,,,,,,,江ノ島,137
,,,,,,,,,,小浜島・嘉弥真島 ,138
,,,,,,,,,,パプアニューギニア,139
,,,,,,,,,,妻良,140
,,,,,,,,,,波照間島 ,141
,,,,,,,,,,鎌倉沖,142
,,,,,,,,,,須崎,143
,,,,,,,,,,下北半島,144
,,,,,,,,,,逗子,145
,,,,,,,,,,方座浦,146
,,,,,,,,,,アメリカ／フロリダ,147
,,,,,,,,,,南大東島,148
,,,,,,,,,,滑川,149
,,,,,,,,,,柳井市,150
,,,,,,,,,,下田,151
,,,,,,,,,,本栖湖,152
,,,,,,,,,,岐阜・美濃／長良川,153
,,,,,,,,,,その他,154
,,,,,,,,,,河口湖,155
